机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
997              22              22              22              22              22
998              22              22              22              22              22
999              27.4              27.4              27.4              27.4              27.4
1000              12              12              12              12              12
1001              12              12              12              12              12
1002              9              9              9              9              9
1003              9              9              9              9              9
1004              9              9              9              9              9
1005              61              61              61              61              61
1006              61              61              61              61              61
1007              22              22              22              22              22
1008              22              22              22              22              22
1009              27.4              27.4              27.4              27.4              27.4
1010              12              12              12              12              12
1011              12              12              12              12              12
1012              9              9              9              9              9
1013              9              9              9              9              9
1014              9              9              9              9              9
1015              61              61              61              61              61
1016              61              61              61              61              61
1017              22              22              22              22              22
1018              22              22              22              22              22
1019              27.4              27.4              27.4              27.4              27.4
1020              12              12              12              12              12
1021              12              12              12              12              12
1022              9              9              9              9              9
1023              9              9              9              9              9
1024              9              9              9              9              9
1025              61              61              61              61              61
1026              61              61              61              61              61
1027              22              22              22              22              22
1028              22              22              22              22              22
1029              27.4              27.4              27.4              27.4              27.4
1030              12              12              12              12              12
1031              12              12              12              12              12
1032              9              9              9              9              9
1033              9              9              9              9              9
1034              9              9              9              9              9
1035              61              61              61              61              61
1036              61              61              61              61              61
1037              22              22              22              22              22
1038              22              22              22              22              22
1039              27.4              27.4              27.4              27.4              27.4
1040              12              12              12              12              12
1041              12              12              12              12              12
1042              9              9              9              9              9
1043              9              9              9              9              9
1044              9              9              9              9              9
1045              61              61              61              61              61
1046              61              61              61              61              61
1047              22              22              22              22              22
1048              22              22              22              22              22
1049              27.4              27.4              27.4              27.4              27.4
1050              12              12              12              12              12
1051              12              12              12              12              12
1052              9              9              9              9              9
1053              9              9              9              9              9
1054              9              9              9              9              9
1055              61              61              61              61              61
1056              61              61              61              61              61
1057              22              22              22              22              22
1058              22              22              22              22              22
1059              27.4              27.4              27.4              27.4              27.4
1060              12              12              12              12              12
1061              12              12              12              12              12
1062              9              9              9              9              9
1063              9              9              9              9              9
1064              9              9              9              9              9
1065              61              61              61              61              61
1066              61              61              61              61              61
1067              22              22              22              22              22
1068              22              22              22              22              22
1069              27.4              27.4              27.4              27.4              27.4
1070              12              12              12              12              12
1071              12              12              12              12              12
1072              9              9              9              9              9
1073              9              9              9              9              9
1074              9              9              9              9              9
1075              61              61              61              61              61
1076              61              61              61              61              61
1077              22              22              22              22              22
1078              22              22              22              22              22
1079              27.4              27.4              27.4              27.4              27.4
1080              12              12              12              12              12
1081              12              12              12              12              12
1082              9              9              9              9              9
1083              9              9              9              9              9
1084              9              9              9              9              9
1085              61              61              61              61              61
1086              61              61              61              61              61
1087              22              22              22              22              22
1088              22              22              22              22              22
1089              27.4              27.4              27.4              27.4              27.4
1090              12              12              12              12              12
1091              12              12              12              12              12
1092              9              9              9              9              9
1093              9              9              9              9              9
1094              9              9              9              9              9
1095              61              61              61              61              61
1096              61              61              61              61              61
1097              22              22              22              22              22
1098              22              22              22              22              22
1099              27.4              27.4              27.4              27.4              27.4
1100              12              12              12              12              12
1101              12              12              12              12              12
1102              9              9              9              9              9
1103              9              9              9              9              9
1104              9              9              9              9              9
1105              61              61              61              61              61
1106              61              61              61              61              61
1107              22              22              22              22              22
1108              22              22              22              22              22
1109              27.4              27.4              27.4              27.4              27.4
1110              12              12              12              12              12
1111              12              12              12              12              12
1112              9              9              9              9              9
1113              9              9              9              9              9
1114              9              9              9              9              9
1115              61              61              61              61              61
1116              61              61              61              61              61
1117              22              22              22              22              22
1118              22              22              22              22              22
1119              27.4              27.4              27.4              27.4              27.4
1120              12              12              12              12              12
1121              12              12              12              12              12
1122              9              9              9              9              9
1123              9              9              9              9              9
1124              9              9              9              9              9
1125              61              61              61              61              61
1126              61              61              61              61              61
1127              22              22              22              22              22
1128              22              22              22              22              22
1129              27.4              27.4              27.4              27.4              27.4
1130              12              12              12              12              12
1131              12              12              12              12              12
1132              9              9              9              9              9
1133              9              9              9              9              9
1134              9              9              9              9              9
1135              61              61              61              61              61
1136              61              61              61              61              61
1137              22              22              22              22              22
1138              22              22              22              22              22
1139              27.4              27.4              27.4              27.4              27.4
1140              12              12              12              12              12
1141              12              12              12              12              12
1142              9              9              9              9              9
1143              9              9              9              9              9
1144              9              9              9              9              9
1145              61              61              61              61              61
1146              61              61              61              61              61
1147              22              22              22              22              22
1148              22              22              22              22              22
1149              27.4              27.4              27.4              27.4              27.4
1150              12              12              12              12              12
1151              12              12              12              12              12
1152              9              9              9              9              9
1153              9              9              9              9              9
1154              9              9              9              9              9
1155              61              61              61              61              61
1156              61              61              61              61              61
1157              22              22              22              22              22
1158              22              22              22              22              22
1159              27.4              27.4              27.4              27.4              27.4
1160              12              12              12              12              12
1161              12              12              12              12              12
1162              9              9              9              9              9
1163              9              9              9              9              9
1164              9              9              9              9              9
1165              61              61              61              61              61
1166              61              61              61              61              61
1167              22              22              22              22              22
1168              22              22              22              22              22
1169              27.4              27.4              27.4              27.4              27.4
1170              12              12              12              12              12
1171              12              12              12              12              12
1172              9              9              9              9              9
1173              9              9              9              9              9
1174              9              9              9              9              9
1175              61              61              61              61              61
1176              61              61              61              61              61
1177              22              22              22              22              22
1178              22              22              22              22              22
1179              27.4              27.4              27.4              27.4              27.4
1180              12              12              12              12              12
1181              12              12              12              12              12
1182              9              9              9              9              9
1183              9              9              9              9              9
1184              9              9              9              9              9
1185              61              61              61              61              61
1186              61              61              61              61              61
1187              22              22              22              22              22
1188              22              22              22              22              22
1189              27.4              27.4              27.4              27.4              27.4
1190              12              12              12              12              12
1191              12              12              12              12              12
1192              9              9              9              9              9
1193              9              9              9              9              9
1194              9              9              9              9              9
1195              61              61              61              61              61
1196              61              61              61              61              61
1197              22              22              22              22              22
1198              22              22              22              22              22
1199              27.4              27.4              27.4              27.4              27.4
1200              12              12              12              12              12
1201              12              12              12              12              12
1202              9              9              9              9              9
1203              9              9              9              9              9
1204              9              9              9              9              9
1205              61              61              61              61              61
1206              61              61              61              61              61
1207              22              22              22              22              22
1208              22              22              22              22              22
1209              27.4              27.4              27.4              27.4              27.4
1210              12              12              12              12              12
1211              12              12              12              12              12
1212              9              9              9              9              9
1213              9              9              9              9              9
1214              9              9              9              9              9
1215              61              61              61              61              61
1216              61              61              61              61              61
1217              22              22              22              22              22
1218              22              22              22              22              22
1219              27.4              27.4              27.4              27.4              27.4
1220              12              12              12              12              12
1221              12              12              12              12              12
1222              9              9              9              9              9
1223              9              9              9              9              9
1224              9              9              9              9              9
